event_id,Campeonato,Time Casa,Time Visitante,Gols Casa,Gols Visitante,Status,Data e Hora,Time Referência,Num Gols,Cartões Amarelos,Cartões Vermelhos
13473384,Brasileirão Betano,Grêmio,Internacional,1.0,1.0,Ended,2025-04-20 00:00:00,Internacional,2,0,0
13640316,"CONMEBOL Libertadores, Group F",Internacional,Nacional,3.0,3.0,Ended,2025-04-23 00:30:00,Internacional,6,0,0
13473394,Brasileirão Betano,Internacional,Juventude,3.0,1.0,Ended,2025-04-26 19:00:00,Internacional,4,0,0
13742590,Copa Betano do Brasil,Internacional,Maracanã,1.0,0.0,Ended,2025-04-29 22:00:00,Internacional,1,0,0
13473400,Brasileirão Betano,Corinthians,Internacional,4.0,2.0,Ended,2025-05-03 21:30:00,Internacional,6,0,0
13640342,"CONMEBOL Libertadores, Group F",Atlético Nacional,Internacional,3.0,1.0,Ended,2025-05-09 00:30:00,Internacional,4,0,0
13473409,Brasileirão Betano,Botafogo,Internacional,4.0,0.0,Ended,2025-05-11 23:00:00,Internacional,4,0,0
13640357,"CONMEBOL Libertadores, Group F",Nacional,Internacional,0.0,2.0,Ended,2025-05-15 22:00:00,Internacional,2,0,0
13473424,Brasileirão Betano,Internacional,Mirassol,1.0,1.0,Ended,2025-05-18 23:30:00,Internacional,2,0,0
13742606,Copa Betano do Brasil,Maracanã,Internacional,0.0,3.0,Ended,2025-05-22 22:00:00,Internacional,3,0,0
13473438,Brasileirão Betano,Sport Recife,Internacional,1.0,1.0,Ended,2025-05-25 19:00:00,Internacional,2,0,0
13640370,"CONMEBOL Libertadores, Group F",Internacional,Bahia,2.0,1.0,Ended,2025-05-28 22:00:00,Internacional,3,0,0
13472700,Brasileirão Betano,Internacional,Fluminense,0.0,2.0,Ended,2025-06-01 23:30:00,Internacional,2,0,0
13472737,Brasileirão Betano,Atlético Mineiro,Internacional,2.0,0.0,Ended,2025-06-13 00:30:00,Internacional,2,0,0
13193924,Paulista Série A1,Santos,São Paulo,3.0,1.0,Ended,2025-02-01 23:30:00,São Paulo,4,0,0
13193929,Paulista Série A1,São Paulo,Mirassol,4.0,1.0,Ended,2025-02-05 22:30:00,São Paulo,5,0,0
13193943,Paulista Série A1,Red Bull Bragantino,São Paulo,1.0,0.0,Ended,2025-02-08 21:30:00,São Paulo,1,0,0
13284323,Paulista Série A1,São Paulo,Inter de Limeira,0.0,0.0,Ended,2025-02-11 00:30:00,São Paulo,0,0,0
13193947,Paulista Série A1,São Paulo,AE Velo Clube,3.0,3.0,Ended,2025-02-14 00:30:00,São Paulo,6,0,0
13193958,Paulista Série A1,Palmeiras,São Paulo,0.0,0.0,Ended,2025-02-16 21:30:00,São Paulo,0,0,0
13193961,Paulista Série A1,São Paulo,Ponte Preta,1.0,2.0,Ended,2025-02-19 22:30:00,São Paulo,3,0,0
13193976,Paulista Série A1,São Bernardo,São Paulo,1.0,3.0,Ended,2025-02-23 21:30:00,São Paulo,4,0,0
13529169,Paulista Série A1 - Playoffs,São Paulo,Novorizontino,1.0,0.0,Ended,2025-03-03 23:00:00,São Paulo,1,0,0
13566692,Paulista Série A1 - Playoffs,Palmeiras,São Paulo,1.0,0.0,Ended,2025-03-11 00:35:00,São Paulo,1,0,0
13473341,Brasileirão Betano,São Paulo,Sport Recife,0.0,0.0,Ended,2025-03-29 21:30:00,São Paulo,0,0,0
13640290,"CONMEBOL Libertadores, Group D",Talleres,São Paulo,0.0,1.0,Ended,2025-04-03 00:30:00,São Paulo,1,0,0
13473353,Brasileirão Betano,Atlético Mineiro,São Paulo,0.0,0.0,Ended,2025-04-06 19:00:00,São Paulo,0,0,0
13640310,"CONMEBOL Libertadores, Group D",São Paulo,Alianza Lima,2.0,2.0,Ended,2025-04-11 00:30:00,São Paulo,4,0,0
13473361,Brasileirão Betano,São Paulo,Cruzeiro,1.0,1.0,Ended,2025-04-13 20:30:00,São Paulo,2,0,0
13473369,Brasileirão Betano,Botafogo,São Paulo,2.0,2.0,Ended,2025-04-16 21:30:00,São Paulo,4,0,0
13473381,Brasileirão Betano,São Paulo,Santos,2.0,1.0,Ended,2025-04-20 19:00:00,São Paulo,3,0,0
13640321,"CONMEBOL Libertadores, Group D",Libertad,São Paulo,0.0,2.0,Ended,2025-04-24 00:30:00,São Paulo,2,0,0
13473396,Brasileirão Betano,Ceará,São Paulo,1.0,1.0,Ended,2025-04-26 21:30:00,São Paulo,2,0,0
13742598,Copa Betano do Brasil,São Paulo,Náutico,2.0,1.0,Ended,2025-04-30 00:30:00,São Paulo,3,0,0
13473401,Brasileirão Betano,São Paulo,Fortaleza,0.0,0.0,Ended,2025-05-03 00:30:00,São Paulo,0,0,0
13640329,"CONMEBOL Libertadores, Group D",Alianza Lima,São Paulo,0.0,2.0,Ended,2025-05-06 22:00:00,São Paulo,2,0,0
13473410,Brasileirão Betano,Palmeiras,São Paulo,1.0,0.0,Ended,2025-05-11 20:30:00,São Paulo,1,0,0
13640353,"CONMEBOL Libertadores, Group D",São Paulo,Libertad,1.0,1.0,Ended,2025-05-15 00:30:00,São Paulo,2,0,0
13473421,Brasileirão Betano,São Paulo,Grêmio,2.0,1.0,Ended,2025-05-18 00:00:00,São Paulo,3,0,0
13742607,Copa Betano do Brasil,Náutico,São Paulo,1.0,2.0,Ended,2025-05-21 00:30:00,São Paulo,3,0,0
13473431,Brasileirão Betano,São Paulo,Mirassol,0.0,2.0,Ended,2025-05-24 21:30:00,São Paulo,2,0,0
13640361,"CONMEBOL Libertadores, Group D",São Paulo,Talleres,2.0,1.0,Ended,2025-05-27 22:00:00,São Paulo,3,0,0
13472704,Brasileirão Betano,Bahia,São Paulo,2.0,1.0,Ended,2025-05-31 21:30:00,São Paulo,3,0,0
13472729,Brasileirão Betano,São Paulo,Vasco da Gama,1.0,3.0,Ended,2025-06-13 00:30:00,São Paulo,4,0,0
13284329,Paulista Série A1,Santos,Mirassol,2.0,1.0,Ended,2025-01-17 00:30:00,Santos,3,0,0
13193891,Paulista Série A1,Ponte Preta,Santos,1.0,1.0,Ended,2025-01-19 23:30:00,Santos,2,0,0
13193902,Paulista Série A1,Santos,Palmeiras,1.0,2.0,Ended,2025-01-23 00:35:00,Santos,3,0,0
13193907,Paulista Série A1,AE Velo Clube,Santos,2.0,1.0,Ended,2025-01-25 21:30:00,Santos,3,0,0
13193920,Paulista Série A1,São Bernardo,Santos,3.0,1.0,Ended,2025-01-29 21:30:00,Santos,4,0,0
13193924,Paulista Série A1,Santos,São Paulo,3.0,1.0,Ended,2025-02-01 23:30:00,Santos,4,0,0
13193936,Paulista Série A1,Santos,Botafogo-SP,1.0,1.0,Ended,2025-02-06 00:35:00,Santos,2,0,0
13193940,Paulista Série A1,Novorizontino,Santos,0.0,0.0,Ended,2025-02-09 19:00:00,Santos,0,0,0
13193952,Paulista Série A1,Corinthians,Santos,2.0,1.0,Ended,2025-02-13 00:35:00,Santos,3,0,0
13193956,Paulista Série A1,Santos,Água Santa,3.0,1.0,Ended,2025-02-16 23:30:00,Santos,4,0,0
13193963,Paulista Série A1,Santos,EC Noroeste,3.0,0.0,Ended,2025-02-19 22:15:00,Santos,3,0,0
13193973,Paulista Série A1,Inter de Limeira,Santos,0.0,3.0,Ended,2025-02-23 21:30:00,Santos,3,0,0
13529171,Paulista Série A1 - Playoffs,Santos,Red Bull Bragantino,2.0,0.0,Ended,2025-03-02 23:45:00,Santos,2,0,0
13566693,Paulista Série A1 - Playoffs,Corinthians,Santos,2.0,1.0,Ended,2025-03-09 21:30:00,Santos,3,0,0
